Saving Glyph X of Arial to File "fonts.aaf", Asset Size: 27238, Total Size: 2629600
Saving Glyph Y of Arial to File "fonts.aaf", Asset Size: 27238, Total Size: 2656838
Saving Glyph Z of Arial to File "fonts.aaf", Asset Size: 23798, Total Size: 2680636
Saving Glyph [ of Arial to File "fonts.aaf", Asset Size: 11398, Total Size: 2692034
Saving Glyph \ of Arial to File "fonts.aaf", Asset Size: 12522, Total Size: 2704556
Saving Glyph ] of Arial to File "fonts.aaf", Asset Size: 11398, Total Size: 2715954
Saving Glyph ^ of Arial to File "fonts.aaf", Asset Size: 10058, Total Size: 2726012
Saving Glyph _ of Arial to File "fonts.aaf", Asset Size: 3186, Total Size: 2729198
Saving Glyph ` of Arial to File "fonts.aaf", Asset Size: 2142, Total Size: 2731340
Saving Glyph a of Arial to File "fonts.aaf", Asset Size: 15374, Total Size: 2746714
Saving Glyph b of Arial to File "fonts.aaf", Asset Size: 19774, Total Size: 2766488
Saving Glyph c of Arial to File "fonts.aaf", Asset Size: 14846, Total Size: 2781334
Saving Glyph d of Arial to File "fonts.aaf", Asset Size: 19774, Total Size: 2801108
Saving Glyph e of Arial to File "fonts.aaf", Asset Size: 15374, Total Size: 2816482
Saving Glyph f of Arial to File "fonts.aaf", Asset Size: 13286, Total Size: 2829768
Saving Glyph g of Arial to File "fonts.aaf", Asset Size: 20354, Total Size: 2850122
Saving Glyph h of Arial to File "fonts.aaf", Asset Size: 17950, Total Size: 2868072
Saving Glyph i of Arial to File "fonts.aaf", Asset Size: 4878, Total Size: 2872950
Saving Glyph j of Arial to File "fonts.aaf", Asset Size: 12050, Total Size: 2885000
Saving Glyph k of Arial to File "fonts.aaf", Asset Size: 18294, Total Size: 2903294
Saving Glyph l of Arial to File "fonts.aaf", Asset Size: 4878, Total Size: 2908172
Saving Glyph m of Arial to File "fonts.aaf", Asset Size: 21822, Total Size: 2929994
Saving Glyph n of Arial to File "fonts.aaf", Asset Size: 13374, Total Size: 2943368
Saving Glyph o of Arial to File "fonts.aaf", Asset Size: 15902, Total Size: 2959270
Saving Glyph p of Arial to File "fonts.aaf", Asset Size: 19550, Total Size: 2978820
Saving Glyph q of Arial to File "fonts.aaf", Asset Size: 19202, Total Size: 2998022
Saving Glyph r of Arial to File "fonts.aaf", Asset Size: 9278, Total Size: 3007300
Saving Glyph s of Arial to File "fonts.aaf", Asset Size: 14054, Total Size: 3021354
Saving Glyph t of Arial to File "fonts.aaf", Asset Size: 10942, Total Size: 3032296
Saving Glyph u of Arial to File "fonts.aaf", Asset Size: 13582, Total Size: 3045878
Saving Glyph v of Arial to File "fonts.aaf", Asset Size: 14678, Total Size: 3060556
Saving Glyph w of Arial to File "fonts.aaf", Asset Size: 21482, Total Size: 3082038
Saving Glyph x of Arial to File "fonts.aaf", Asset Size: 15182, Total Size: 3097220
Saving Glyph y of Arial to File "fonts.aaf", Asset Size: 20830, Total Size: 3118050
Saving Glyph z of Arial to File "fonts.aaf", Asset Size: 14174, Total Size: 3132224
Saving Glyph { of Arial to File "fonts.aaf", Asset Size: 16190, Total Size: 3148414
Saving Glyph | of Arial to File "fonts.aaf", Asset Size: 5886, Total Size: 3154300
Saving Glyph } of Arial to File "fonts.aaf", Asset Size: 16638, Total Size: 3170938
Saving Glyph ~ of Arial to File "fonts.aaf", Asset Size: 5518, Total Size: 3176456
Saving Kerning Table for Arial to File "fonts.aaf", Asset Size: 62, Total Size: 3176518
Saving Metadata for Font Arial to File "fonts.aaf", Asset Size: 62, Total Size: 3176580
